0;0;0,86;{}
0;0;1,03;{}
0;0;1,21;{}
0;0;1,38;{}
0;0;1,46;{}
0;0;1,62;{}
0;0;1,71;{}
0;0;1,78;{}
0;0;1,93;{}
0;0;1,93;{}
0;0;2,02;{}
0;0;2,02;{}
0;0;2,10;{}
0;0;2,21;{}
0;0;2,21;{}
0;0;2,32;{}
0;0;2,32;{}
0;0;2,41;{}
0;0;2,41;{}
0;0;2,49;{}
0;0;2,55;{}
0;0;2,62;{}
0;0;2,66;{}
0;0;2,66;{}
0;0;2,73;{}
0;0;2,79;{}
0;0;2,79;{}
0;0;2,84;{}
0;0;2,89;{}
0;0;2,89;{}
0;0;2,96;{}
0;0;2,98;{}
0;0;3,04;{}
0;0;3,04;{}
0;0;3,11;{}
0;0;3,11;{}
0;0;3,11;{}
0;0;3,11;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
0;0;3,18;{}
